study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
celia	SRR25182978			Environmental	USA																																																																																																										
celia	SRR25182979			Environmental	USA																																																																																																										
celia	SRR25182980			Environmental	USA																																																																																																										
celia	SRR25182981			Environmental	USA																																																																																																										
celia	SRR25182982			Environmental	USA																																																																																																										
celia	SRR25182983			Environmental	USA																																																																																																										
celia	SRR25182984			Environmental	USA																																																																																																										
celia	SRR25182985			Environmental	USA																																																																																																										
celia	SRR25182986			Environmental	USA																																																																																																										
celia	SRR25182987			Environmental	USA																																																																																																										
celia	SRR25182988			Environmental	USA																																																																																																										
celia	SRR25182989			Environmental	USA																																																																																																										
celia	SRR25182990			Environmental	USA																																																																																																										
celia	SRR25182991			Environmental	USA																																																																																																										
celia	SRR25182992			Environmental	USA																																																																																																										
celia	SRR25182993			Environmental	USA																																																																																																										
celia	SRR25182994			Environmental	USA																																																																																																										
celia	SRR25182995			Environmental	USA																																																																																																										
celia	SRR25182996			Environmental	USA																																																																																																										
celia	SRR25182997			Environmental	USA																																																																																																										
celia	SRR25182998			Environmental	USA																																																																																																										
celia	SRR25182999			Environmental	USA																																																																																																										
celia	SRR25183000			Environmental	USA																																																																																																										
celia	SRR25183001			Environmental	USA																																																																																																										
celia	SRR25183002			Environmental	USA																																																																																																										
celia	SRR25183003			Environmental	USA																																																																																																										
celia	SRR25183004			Environmental	USA																																																																																																										
celia	SRR25183005			Environmental	USA																																																																																																										
celia	SRR25183006			Environmental	USA																																																																																																										
celia	SRR25183007			Environmental	USA																																																																																																										
celia	SRR25183008			Environmental	USA																																																																																																										
celia	SRR25183009			Environmental	USA																																																																																																										
celia	SRR25183010			Environmental	USA																																																																																																										
celia	SRR25183011			Environmental	USA																																																																																																										
celia	SRR25183012			Environmental	USA																																																																																																										
celia	SRR25183013			Environmental	USA																																																																																																										
celia	SRR25183014			Environmental	USA																																																																																																										
celia	SRR25183015			Environmental	USA																																																																																																										
celia	SRR25183016			Environmental	USA																																																																																																										
celia	SRR25183017			Environmental	USA																																																																																																										
celia	SRR25183018			Environmental	USA																																																																																																										
celia	SRR25183019			Environmental	USA																																																																																																										
celia	SRR25183020			Environmental	USA																																																																																																										
celia	SRR25183021			Environmental	USA																																																																																																										
celia	SRR25183022			Environmental	USA																																																																																																										
celia	SRR25183023			Environmental	USA																																																																																																										
celia	SRR25183024			Environmental	USA																																																																																																										
celia	SRR25183025			Environmental	USA																																																																																																										
celia	SRR25183026			Environmental	USA																																																																																																										
celia	SRR25183027			Environmental	USA																																																																																																										
celia	SRR25183028			Environmental	USA																																																																																																										
celia	SRR25183029			Environmental	USA																																																																																																										
celia	SRR25183030			Environmental	USA																																																																																																										
celia	SRR25183031			Environmental	USA																																																																																																										
celia	SRR25183032			Environmental	USA																																																																																																										
celia	SRR25183033			Environmental	USA																																																																																																										
celia	SRR25183034			Environmental	USA																																																																																																										
celia	SRR25183035			Environmental	USA																																																																																																										
celia	SRR25183036			Environmental	USA																																																																																																										
celia	SRR25183037			Environmental	USA																																																																																																										
celia	SRR25183038			Environmental	USA																																																																																																										
celia	SRR25183039			Environmental	USA																																																																																																										
celia	SRR25183040			Environmental	USA																																																																																																										
celia	SRR25183041			Environmental	USA																																																																																																										
celia	SRR25183042			Environmental	USA																																																																																																										
celia	SRR25183043			Environmental	USA																																																																																																										
celia	SRR25183044			Environmental	USA																																																																																																										
celia	SRR25183045			Environmental	USA																																																																																																										
celia	SRR25183046			Environmental	USA																																																																																																										
celia	SRR25183047			Environmental	USA																																																																																																										
celia	SRR25183048			Environmental	USA																																																																																																										
celia	SRR25183049			Environmental	USA																																																																																																										
celia	SRR25183050			Environmental	USA																																																																																																										
celia	SRR25183051			Environmental	USA																																																																																																										
celia	SRR25183052			Environmental	USA																																																																																																										
celia	SRR25183053			Environmental	USA																																																																																																										
celia	SRR25183054			Environmental	USA																																																																																																										
celia	SRR25183055			Environmental	USA																																																																																																										
celia	SRR25183056			Environmental	USA																																																																																																										
celia	SRR25183057			Environmental	USA																																																																																																										
celia	SRR25183058			Environmental	USA																																																																																																										
celia	SRR25183059			Environmental	USA																																																																																																										
celia	SRR25183060			Environmental	USA																																																																																																										
celia	SRR25183061			Environmental	USA																																																																																																										
celia	SRR25183062			Environmental	USA																																																																																																										
celia	SRR25183063			Environmental	USA																																																																																																										
celia	SRR25183064			Environmental	USA																																																																																																										
celia	SRR25183065			Environmental	USA																																																																																																										
celia	SRR25183066			Environmental	USA																																																																																																										
celia	SRR25183067			Environmental	USA																																																																																																										
celia	SRR25183068			Environmental	USA																																																																																																										
celia	SRR25183069			Environmental	USA																																																																																																										
celia	SRR25183070			Environmental	USA																																																																																																										
celia	SRR25183071			Environmental	USA																																																																																																										
celia	SRR25183072			Environmental	USA																																																																																																										
celia	SRR25183073			Environmental	USA																																																																																																										
celia	SRR25183074			Environmental	USA																																																																																																										
celia	SRR25183075			Environmental	USA																																																																																																										
celia	SRR25183076			Environmental	USA																																																																																																										
celia	SRR25183077			Environmental	USA																																																																																																										
celia	SRR25183078			Environmental	USA																																																																																																										
celia	SRR25183079			Environmental	USA																																																																																																										
celia	SRR25183080			Environmental	USA																																																																																																										
celia	SRR25183081			Environmental	USA																																																																																																										
celia	SRR25183082			Environmental	USA																																																																																																										
celia	SRR25183083			Environmental	USA																																																																																																										
celia	SRR25183084			Environmental	USA																																																																																																										
celia	SRR25183085			Environmental	USA																																																																																																										
celia	SRR25183086			Environmental	USA																																																																																																										
celia	SRR25183087			Environmental	USA																																																																																																										
celia	SRR25183088			Environmental	USA																																																																																																										
celia	SRR25183089			Environmental	USA																																																																																																										
celia	SRR25183090			Environmental	USA																																																																																																										
dutch	162	162	Susceptible	Environmental	Netherlands																																																																																																										
dutch	513	513	Susceptible	Environmental	Netherlands																																																																																																										
dutch	980	980	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1267	1267	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1464	1464	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1533	1533	Resistant	Environmental	Netherlands																																																																																																										
dutch	1545	1545	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1730	1730	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1945	1945	Susceptible	Environmental	Netherlands																																																																																																										
dutch	1976	1976	Susceptible	Environmental	Netherlands																																																																																																										
dutch	2108	2108	Susceptible	Environmental	Netherlands																																																																																																										
dutch	2109	2109	Susceptible	Environmental	Netherlands																																																																																																										
dutch	2288	2288	Susceptible	Environmental	Netherlands																																																																																																										
dutch	2406	2406	Susceptible	Environmental	Netherlands																																																																																																										
dutch	102C11	102C11	Resistant	Environmental	Netherlands																																																																																																										
dutch	11A2	11A2	Susceptible	Environmental	Netherlands																																																																																																										
dutch	11A5	11A5	Resistant	Environmental	Netherlands																																																																																																										
dutch	11A6	11A6	Resistant	Environmental	Netherlands																																																																																																										
dutch	13B11	13B11	Resistant	Environmental	Netherlands																																																																																																										
dutch	13B9	13B9	Resistant	Environmental	Netherlands																																																																																																										
dutch	16C32	16C32	Resistant	Environmental	Netherlands																																																																																																										
dutch	18A1	18A1	Resistant	Environmental	Netherlands																																																																																																										
dutch	18A2	18A2	Resistant	Environmental	Netherlands																																																																																																										
dutch	18A3	18A3	Resistant	Environmental	Netherlands																																																																																																										
dutch	19B4	19B4	Resistant	Environmental	Netherlands																																																																																																										
dutch	25C20	25C20	Resistant	Environmental	Netherlands																																																																																																										
dutch	26B5	26B5	Resistant	Environmental	Netherlands																																																																																																										
dutch	27C10	27C10	Resistant	Environmental	Netherlands																																																																																																										
dutch	27C7	27C7	Resistant	Environmental	Netherlands																																																																																																										
dutch	29C8	29C8	Resistant	Environmental	Netherlands																																																																																																										
dutch	33MK1	33MK1	Resistant	Environmental	Netherlands																																																																																																										
dutch	34BR24	34BR24	Susceptible	Environmental	Netherlands																																																																																																										
dutch	35CS28	35CS28	Resistant	Environmental	Netherlands																																																																																																										
dutch	36B7	36B7	Resistant	Environmental	Netherlands																																																																																																										
dutch	38C31	38C31	Susceptible	Environmental	Netherlands																																																																																																										
dutch	39B10	39B10	Resistant	Environmental	Netherlands																																																																																																										
dutch	40A20	40A20	Susceptible	Environmental	Netherlands																																																																																																										
dutch	40A21	40A21	Resistant	Environmental	Netherlands																																																																																																										
dutch	40A8	40A8	Resistant	Environmental	Netherlands																																																																																																										
dutch	46A23	46A23	Resistant	Environmental	Netherlands																																																																																																										
dutch	47A8	47A8	Resistant	Environmental	Netherlands																																																																																																										
dutch	48A4	48A4	Susceptible	Environmental	Netherlands																																																																																																										
dutch	48A5	48A5	Resistant	Environmental	Netherlands																																																																																																										
dutch	48A6	48A6	Resistant	Environmental	Netherlands																																																																																																										
dutch	4A18	4A18	Susceptible	Environmental	Netherlands																																																																																																										
dutch	4A19	4A19	Resistant	Environmental	Netherlands																																																																																																										
dutch	50C32	50C32	Resistant	Environmental	Netherlands																																																																																																										
dutch	52B4	52B4	Resistant	Environmental	Netherlands																																																																																																										
dutch	55C1	55C1	Susceptible	Environmental	Netherlands																																																																																																										
dutch	55C3	55C3	Resistant	Environmental	Netherlands																																																																																																										
dutch	55C4	55C4	Resistant	Environmental	Netherlands																																																																																																										
dutch	56C17	56C17	Resistant	Environmental	Netherlands																																																																																																										
dutch	56C20	56C20	Resistant	Environmental	Netherlands																																																																																																										
dutch	58C25	58C25	Resistant	Environmental	Netherlands																																																																																																										
dutch	5A16	5A16	Resistant	Environmental	Netherlands																																																																																																										
dutch	60C3	60C3	Resistant	Environmental	Netherlands																																																																																																										
dutch	63C6	63C6	Resistant	Environmental	Netherlands																																																																																																										
dutch	66A16	66A16	Resistant	Environmental	Netherlands																																																																																																										
dutch	66A3	66A3	Resistant	Environmental	Netherlands																																																																																																										
dutch	67A2	67A2	Resistant	Environmental	Netherlands																																																																																																										
dutch	67A3	67A3	Resistant	Environmental	Netherlands																																																																																																										
dutch	68A3	68A3	Resistant	Environmental	Netherlands																																																																																																										
dutch	69A4	69A4	Susceptible	Environmental	Netherlands																																																																																																										
dutch	69A5	69A5	Resistant	Environmental	Netherlands																																																																																																										
dutch	70B28	70B28	Resistant	Environmental	Netherlands																																																																																																										
dutch	72A11	72A11	Resistant	Environmental	Netherlands																																																																																																										
dutch	72A19	72A19	Resistant	Environmental	Netherlands																																																																																																										
dutch	72A6	72A6	Susceptible	Environmental	Netherlands																																																																																																										
dutch	72A8	72A8	Resistant	Environmental	Netherlands																																																																																																										
dutch	74C8	74C8	Resistant	Environmental	Netherlands																																																																																																										
dutch	76A17	76A17	Susceptible	Environmental	Netherlands																																																																																																										
dutch	76A18	76A18	Resistant	Environmental	Netherlands																																																																																																										
dutch	77B14	77B14	Resistant	Environmental	Netherlands																																																																																																										
dutch	78C1	78C1	Susceptible	Environmental	Netherlands																																																																																																										
dutch	78C2	78C2	Resistant	Environmental	Netherlands																																																																																																										
dutch	79C1	79C1	Susceptible	Environmental	Netherlands																																																																																																										
dutch	80C17	80C17	Susceptible	Environmental	Netherlands																																																																																																										
dutch	81C14	81C14	Susceptible	Environmental	Netherlands																																																																																																										
dutch	81C3	81C3	Resistant	Environmental	Netherlands																																																																																																										
dutch	82C21	82C21	Susceptible	Environmental	Netherlands																																																																																																										
dutch	82C23	82C23	Resistant	Environmental	Netherlands																																																																																																										
dutch	83C13	83C13	Susceptible	Environmental	Netherlands																																																																																																										
dutch	84C7	84C7	Susceptible	Environmental	Netherlands																																																																																																										
dutch	85C12	85C12	Susceptible	Environmental	Netherlands																																																																																																										
dutch	86C22	86C22	Susceptible	Environmental	Netherlands																																																																																																										
dutch	87C25	87C25	Susceptible	Environmental	Netherlands																																																																																																										
dutch	88C19	88C19	Susceptible	Environmental	Netherlands																																																																																																										
dutch	88C20	88C20	Resistant	Environmental	Netherlands																																																																																																										
dutch	8C2	8C2	Resistant	Environmental	Netherlands																																																																																																										
dutch	93C2	93C2	Susceptible	Environmental	Netherlands																																																																																																										
dutch	94B6	94B6	Resistant	Environmental	Netherlands																																																																																																										
dutch	95A8	95A8	Susceptible	Environmental	Netherlands																																																																																																										
dutch	96C26	96C26	Susceptible	Environmental	Netherlands																																																																																																										
dutch	98C11	98C11	Susceptible	Environmental	Netherlands																																																																																																										
dutch	98C12	98C12	Resistant	Environmental	Netherlands																																																																																																										
dutch	99B16	99B16	Resistant	Environmental	Netherlands																																																																																																										
dutch	9C22	9C22	Susceptible	Environmental	Netherlands																																																																																																										
dutch	9C23	9C23	Resistant	Environmental	Netherlands																																																																																																										
dutch	9C24	9C24	Resistant	Environmental	Netherlands																																																																																																										
dutch	V184-14	V184-14	Resistant	Clinical	Netherlands																																																																																																										
dutch	V184-15	V184-15	Resistant	Clinical	Netherlands																																																																																																										
dutch	V184-16	V184-16	Resistant	Clinical	Netherlands																																																																																																										
dutch	V184-17	V184-17	Resistant	Clinical	Netherlands																																																																																																										
dutch	V184-18	V184-18	Resistant	Clinical	Netherlands																																																																																																										
dutch	V184-19	V184-19	Resistant	Clinical	Netherlands																																																																																																										
dutch	V192-81	V192-81	Resistant	Clinical	Netherlands																																																																																																										
dutch	V196-05	V196-05	Resistant	Clinical	Netherlands																																																																																																										
dutch	V197-79	V197-79	Resistant	Clinical	Netherlands																																																																																																										
dutch	V198-65	V198-65	Resistant	Clinical	Netherlands																																																																																																										
dutch	V199-25	V199-25	Resistant	Clinical	Netherlands																																																																																																										
dutch	V200-50	V200-50	Resistant	Clinical	Netherlands																																																																																																										
dutch	V200-72	V200-72	Resistant	Clinical	Netherlands																																																																																																										
dutch	V204-54	V204-54	Resistant	Clinical	Netherlands																																																																																																										
dutch	V207-11	V207-11	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V208-52	V208-52	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V209-50	V209-50	Resistant	Clinical	Netherlands																																																																																																										
dutch	V209-56	V209-56	Resistant	Clinical	Netherlands																																																																																																										
dutch	V210-08	V210-08	Resistant	Clinical	Netherlands																																																																																																										
dutch	V212-54	V212-54	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V213-14	V213-14	Resistant	Clinical	Netherlands																																																																																																										
dutch	V215-11	V215-11	Resistant	Clinical	Netherlands																																																																																																										
dutch	V215-17	V215-17	Resistant	Clinical	Netherlands																																																																																																										
dutch	V215-18	V215-18	Resistant	Clinical	Netherlands																																																																																																										
dutch	V215-62	V215-62	Resistant	Clinical	Netherlands																																																																																																										
dutch	V219-48	V219-48	Resistant	Clinical	Netherlands																																																																																																										
dutch	V224-66	V224-66	Resistant	Clinical	Netherlands																																																																																																										
dutch	V226-02	V226-02	Resistant	Clinical	Netherlands																																																																																																										
dutch	V226-13	V226-13	-	Clinical	Netherlands																																																																																																										
dutch	V226-28	V226-28	-	Clinical	Netherlands																																																																																																										
dutch	V228-47	V228-47	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V229-37	V229-37	Resistant	Clinical	Netherlands																																																																																																										
dutch	V231-63	V231-63	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V232-75	V232-75	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V233-22	V233-22	-	Clinical	Netherlands																																																																																																										
dutch	V233-43	V233-43	Resistant	Clinical	Netherlands																																																																																																										
dutch	V234-13	V234-13	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V235-57	V235-57	-	Clinical	Netherlands																																																																																																										
dutch	V237-62	V237-62	-	Clinical	Netherlands																																																																																																										
dutch	V238-07	V238-07	Resistant	Clinical	Netherlands																																																																																																										
dutch	V240-10	V240-10	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V250-64	V250-64	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V251-74	V251-74	Resistant	Clinical	Netherlands																																																																																																										
dutch	V252-43	V252-43	Resistant	Clinical	Netherlands																																																																																																										
dutch	V254-50	V254-50	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V254-55	V254-55	Susceptible	Clinical	Netherlands																																																																																																										
dutch	V255-23	V255-23	Resistant	Clinical	Netherlands																																																																																																										
dutch	V257-33	V257-33	Resistant	Clinical	Netherlands																																																																																																										
dutch	V258-36	V258-36	Resistant	Clinical	Netherlands																																																																																																										
dutch	V259-28	V259-28	-	Clinical	Netherlands																																																																																																										
dutch	V259-78	V259-78	Resistant	Clinical	Netherlands																																																																																																										
dutch	V261-15	V261-15	Resistant	Clinical	Netherlands																																																																																																										
dutch	V261-31	V261-31	Resistant	Clinical	Netherlands																																																																																																										
dutch	V261-45	V261-45	-	Clinical	Netherlands																																																																																																										
dutch	V265-12	V265-12	Resistant	Clinical	Netherlands																																																																																																										
dutch	V265-17	V265-17	Resistant	Clinical	Netherlands																																																																																																										
dutch	V265-56	V265-56	Resistant	Clinical	Netherlands																																																																																																										
dutch	V266-66	V266-66	Resistant	Clinical	Netherlands																																																																																																										
dutch	V269-73	V269-73	-	Clinical	Netherlands																																																																																																										
dutch	V272-18	V272-18	-	Clinical	Netherlands																																																																																																										
dutch	V272-32	V272-32	-	Clinical	Netherlands																																																																																																										
dutch	V273-05	V273-05	-	Clinical	Netherlands																																																																																																										
dutch	V273-30	V273-30	Resistant	Clinical	Netherlands																																																																																																										
dutch	V273-52	V273-52	-	Clinical	Netherlands																																																																																																										
dutch	V273-53	V273-53	-	Clinical	Netherlands																																																																																																										
dutch	V275-41	V275-41	Resistant	Clinical	Netherlands																																																																																																										
dutch	V282-59	V282-59	Resistant	Clinical	Netherlands																																																																																																										
dutch	V284-29	V284-29	Resistant	Clinical	Netherlands																																																																																																										
dutch	V285-58	V285-58	Resistant	Clinical	Netherlands																																																																																																										
dutch	V289-01	V289-01	Resistant	Clinical	Netherlands																																																																																																										
dutch	V293-59	V293-59	Resistant	Clinical	Netherlands																																																																																																										
dutch	V294-36	V294-36	Resistant	Clinical	Netherlands																																																																																																										
dutch	V297-39	V297-39	Resistant	Clinical	Netherlands																																																																																																										
dutch	V306-43	V306-43	Resistant	Clinical	Netherlands																																																																																																										
dutch	V306-67	V306-67	-	Clinical	Netherlands																																																																																																										
etienne	SRR11785055	AFIS2068	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785056	AFIS1492	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785057	AFIS1417	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785058	AFIS1415	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785059	AFIS2067	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785060	AFIS2066	Susceptible	Clinical	USA																																																																																																										
