study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
barber	SRR13579291	207-L-2-16-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579292	205-L-2-15-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579293	201-L-2-9-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579294	200-L-2-9-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579295	198-L-2-7-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579296	197-L-2-7-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579297	194-L-2-17-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579298	193-L-2-16-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579299	190-K-1-4s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579300	186-K-1-18L-6	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579301	112-B-1-78L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579302	182-K-1-3L-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579303	AB01_C9_NRZ-2016-342	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579304	AB01_C8_NRZ-2016-141	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579305	AB01_C7_NRZ-2016-121	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579306	AB01_C6_NRZ-2016-108	Resistant	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579307	AB01_C5_NRZ-2016-071	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579308	AB01_C50_NRZ-2018-649	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579309	AB01_C4_NRZ-2016-063	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579310	AB01_C49_NRZ-2018-646	Resistant	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579311	180-K-1-8L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579312	AB01_C48_NRZ-2018-539	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
